"Gene_ID","Gene","P01_A02","P01_A03","P01_A04","P01_A05","P01_A06","P01_A07","P01_A08","P01_A09","P01_A10","P01_A11","P01_A12","P01_B02","P01_B03","P01_B04","P01_B05","P01_B06","P01_B07","P01_B08","P01_B09","P01_B10"
11754,"Aoc3",0.131562465101318,0.055839355,0,0.0502044987044124,0.0421334455201451,0.040033219,0,0.041422042,0,0,0,0,0.0467151570428197,0.044003772,0.05609568,0.0458149151158309,0,0,0,0
76507,"Aoc1",0.066885184,0.085164691,0,0,0.064260804,0,0,0,0,0,0.0623527176251806,0,0,0,0,0,0,0,0.074124932,0
237940,"Aoc2",0.164997468279173,0.350151245761971,0.0494310301033171,0.125926725013456,0.052841149,0.502071758296346,0,0.155846852025841,0.266245266965911,0.208534270888601,0.256360722957583,0.29093404877333,0.117174494053349,0.275933982812769,0.211055146494936,0,0.241681646452814,0.364359750413558,0.487618746689095,0.558712290404956
13081,"Cyp24a1",0,0,0,0,0,0,0,0.034824767,0,0,0,0,0,0,0,0,0,0,0,0
13115,"Cyp27b1",0,0,0.199119351101669,0,0,0,0,0,0,0,0,0,0,0,0.094464199,0,0,0,0,0
231691,"Sds",7.19417824228088,13.4481353732374,16.370951892299,8.2359382358582,11.1766887295351,13.2744552608224,21.7955697642993,23.4217372214835,29.4911887097878,19.297293289872,27.54013738,16.841671642996,12.5551274720061,11.9800077198014,14.0972531436081,22.0677756850753,13.2842818342599,14.027637936257,9.6692451780599,10.7118557337465
20887,"Sult1a1",1139.05438992255,1077.18338266305,853.203458944029,747.2801306,905.837282763852,916.229672895769,983.467944012695,699.307221196828,961.51564965993,811.230641017714,860.032429110994,630.278920290418,576.575383067516,924.01037257855,830.056251187034,992.6342872,1627.48148175731,1575.03908172602,1736.508891,2072.45554335119
217593,"Slc25a21",8.8207007337201,11.4515929098878,9.40441794329261,9.30599161582343,8.973108093,11.1309388203694,11.4166554685901,11.0270016182535,12.0565006541622,10.0005564916374,14.0274142270206,8.87448523093457,8.198605473,9.1978842664598,5.30961240859313,15.3584707867215,9.31014929955278,7.25670766586602,6.70865312690627,9.56574240077304
106557,"Ldhal6b",0.272502739133734,0.578294774,0.081638168,0.207975176,0,0.829200173822997,0,0.343186631935104,0.439719259248544,0.172203127,0.33871549638105,0.096098838,0.290280550233549,0.182288290652643,0.23237975,0.09489553,0.199575518774962,0.200586976784765,0,0
16833,"Ldhc",0,0.170225289877968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14686627858516,0,0,0
54122,"Uevld",0.055940682,0.071229091,0.301663412,0.192123679727342,0.107491463936748,0.204266671602369,0.052751607,0.317029560187245,0.162481857267434,0.053026038,0.417198942125829,0.295914522260642,0.357541180639987,0.224526137229495,0.357780300547071,0.233767366287851,0.122909486274963,0.24706479453387,0,0.315709353
16832,"Ldhb",0.982031212176757,0.53589308337598,0.378261500667699,0.803025142273976,0.26957118948652,0.640334678908845,1.05833992977622,0.92756861426453,0.950782451325145,1.19682645823023,1.43861768249701,1.03894800166372,0.896655397792812,0.703844004,1.25615710053127,1.31906409627526,0.770592733619657,0.309799253371083,0.77737691,1.26679671374417
16828,"Ldha",162.624263657487,155.2582499,136.465227667475,130.211838369909,192.582076549574,182.982435750444,239.493907245057,182.3659465,151.897097869475,163.728969347742,156.950287598743,172.483052409878,103.12569356995,109.334099539394,85.5831619682298,210.265104738233,134.403087420237,164.181636869785,150.870080175021,527.095583743196
80879,"Slc16a3",0,0.540558549695767,0.38155463197725,0.09720195,0,0.232527387629834,0,0,0.082205137,0.321932263265559,0.158306425898154,0.269483926215594,0.271338494436793,0.085196597,0.217215970290899,0.177406376248638,0.373104713679722,0.187497812859374,0.65868156972707,0.191673810201188
